id,vector
1,"[0.788856, 0.558029, 0.981383, 0.200865, 0.800093, 0.752836, 0.280908, 0.56329, 0.842036, 0.895907, 0.649203, 0.170667, 0.820072, 0.497492, 0.148303, 0.030253, 0.674613, 0.123512, 0.250967, 0.849269, 0.295848, 0.810012, 0.826433, 0.169559, 0.668465, 0.555532, 0.099258, 0.665562, 0.372342, 0.024509, 0.214392, 0.777931, 0.081216, 0.832712, 0.794404, 0.508812, 0.482804, 0.957342, 0.808826, 0.978105, 0.17665, 0.160974, 0.144215, 0.027809, 0.725651, 0.11679, 0.710458, 0.797055, 0.193161, 0.223059, 0.898745, 0.983386, 0.084035, 0.527999, 0.041488, 0.025301, 0.191025, 0.595398, 0.585053, 0.015445, 0.068677, 0.519297, 0.53709, 0.544831, 0.87036, 0.226106, 0.41245, 0.36121, 0.828478, 0.646407, 0.799009, 0.939312, 0.742694, 0.09215, 0.544866, 0.130782, 0.013214, 0.4823, 0.474154, 0.953738, 0.429191, 0.479547, 0.050955, 0.542741, 0.57599, 0.172901, 0.403293, 0.50269, 0.130753, 0.044577, 0.728852, 0.904618, 0.53994, 0.984813, 0.60567, 0.29281, 0.268488, 0.75881, 0.240863, 0.001458, 0.796553, 0.890404, 0.226904, 0.316627, 0.06047, 0.704088, 0.564897, 0.478687, 0.75954, 0.320745, 0.095822, 0.043947, 0.616251, 0.406817, 0.938545, 0.922288, 0.434541, 0.732223, 0.163433, 0.3636, 0.177172, 0.656799, 0.369858, 0.520308, 0.459193, 0.505428, 0.105442, 0.806224]"
2,"[0.652219, 0.536377, 0.917097, 0.080572, 0.273761, 0.305301, 0.960044, 0.447715, 0.225374, 0.947739, 0.245119, 0.940187, 0.641434, 0.136691, 0.164485, 0.272456, 0.972691, 0.595663, 0.608514, 0.310591, 0.807229, 0.590415, 0.693522, 0.343779, 0.01491, 0.645962, 0.918611, 0.56365, 0.514122, 0.611418, 0.863171, 0.480699, 0.269379, 0.378816, 0.012222, 0.458012, 0.520824, 0.586605, 0.38332, 0.105804, 0.580712, 0.903016, 0.64014, 0.468997, 0.6037, 0.81163, 0.441917, 0.837525, 0.267234, 0.323881, 0.005631, 0.626853, 0.671859, 0.38524, 0.186155, 0.146758, 0.28261, 0.283525, 0.853547, 0.207048, 0.042302, 0.852702, 0.059288, 0.597024, 0.143935, 0.078229, 0.701912, 0.848191, 0.409684, 0.521862, 0.823706, 0.794912, 0.488781, 0.172426, 0.286138, 0.923791, 0.388124, 0.782011, 0.972857, 0.528213, 0.502501, 0.420002, 0.085663, 0.331262, 0.812427, 0.822549, 0.628416, 0.992858, 0.975928, 0.086204, 0.391089, 0.631459, 0.831221, 0.109489, 0.838382, 0.051035, 0.93982, 0.756972, 0.321238, 0.872799, 0.791346, 0.460402, 0.853562, 0.640684, 0.012185, 0.233161, 0.443957, 0.357126, 0.713013, 0.997837, 0.495563, 0.673249, 0.355941, 0.134126, 0.228972, 0.567625, 0.966892, 0.446033, 0.07901, 0.104133, 0.924704, 0.437817, 0.689559, 0.957111, 0.633003, 0.56917, 0.852018, 0.409808]"
3,"[0.055471, 0.773681, 0.341062, 0.950979, 0.317625, 0.334566, 0.905039, 0.928438, 0.731027, 0.394841, 0.460332, 0.991557, 0.962465, 0.981042, 0.932278, 0.574972, 0.225428, 0.209541, 0.812725, 0.312477, 0.084893, 0.211655, 0.977352, 0.296058, 0.468418, 0.460565, 0.22107, 0.797464, 0.586371, 0.271073, 0.212811, 0.276672, 0.750553, 0.090931, 0.851089, 0.118206, 0.98038, 0.468593, 0.389715, 0.648801, 0.493849, 0.169365, 0.36232, 0.156472, 0.088258, 0.541325, 0.130193, 0.952527, 0.14835, 0.235061, 0.669036, 0.494207, 0.3585, 0.616979, 0.855293, 0.961755, 0.063837, 0.121883, 0.066103, 0.306792, 0.038239, 0.8379, 0.626024, 0.667448, 0.545065, 0.573273, 0.12754, 0.29783, 0.336873, 0.423724, 0.559915, 0.536201, 0.801441, 0.764458, 0.092528, 0.865951, 0.961571, 0.340746, 0.816041, 0.410422, 0.064576, 0.707997, 0.148764, 0.027976, 0.768451, 0.220302, 0.767799, 0.85902, 0.841907, 0.176538, 0.467937, 0.032152, 0.03448, 0.477907, 0.328952, 0.852862, 0.326699, 0.816122, 0.294751, 0.236838, 0.0019, 0.447677, 0.471465, 0.079374, 0.566398, 0.553721, 0.074911, 0.730732, 0.948909, 0.462068, 0.509628, 0.930907, 0.283518, 0.76378, 0.646792, 0.286957, 0.455095, 0.871282, 0.723571, 0.185145, 0.833867, 0.404629, 0.994036, 0.712611, 0.097268, 0.826071, 0.658793, 0.337124]"
4,"[0.545828, 0.520649, 0.57786, 0.713741, 0.885518, 0.258676, 0.017622, 0.285041, 0.53568, 0.849212, 0.616667, 0.577434, 0.003991, 0.210676, 0.765279, 0.225151, 0.519825, 0.588857, 0.032332, 0.15281, 0.168538, 0.924557, 0.302471, 0.343561, 0.90307, 0.892212, 0.353286, 0.830968, 0.82033, 0.875264, 0.908499, 0.001108, 0.376144, 0.570841, 0.121398, 0.512767, 0.95184, 0.565844, 0.679714, 0.192774, 0.810941, 0.171611, 0.993659, 0.794993, 0.14613, 0.768224, 0.287917, 0.151423, 0.557779, 0.826292, 0.106695, 0.792356, 0.486554, 0.251987, 0.802256, 0.908207, 0.09556, 0.525305, 0.377912, 0.666813, 0.701213, 0.044484, 0.44269, 0.495945, 0.600807, 0.592048, 0.246016, 0.085712, 0.507121, 0.299788, 0.290824, 0.713026, 0.24552, 0.354937, 0.250239, 0.914304, 0.425733, 0.387312, 0.395238, 0.365713, 0.848291, 0.548311, 0.972646, 0.867721, 0.113408, 0.951166, 0.772596, 0.392191, 0.146933, 0.592848, 0.446347, 0.086774, 0.766144, 0.534659, 0.53285, 0.432205, 0.376892, 0.630967, 0.70736, 0.423532, 0.108782, 0.111273, 0.615893, 0.603981, 0.450258, 0.679055, 0.011177, 0.377167, 0.65767, 0.283463, 0.560743, 0.098453, 0.650021, 0.663489, 0.653483, 0.508672, 0.366298, 0.04759, 0.546614, 0.930786, 0.787378, 0.822736, 0.735188, 0.987611, 0.876841, 0.634365, 0.594344, 0.314439]"
5,"[0.696713, 0.448668, 0.643133, 0.343224, 0.658471, 0.276679, 0.297436, 0.013204, 0.968538, 0.430491, 0.046239, 0.906113, 0.511835, 0.782637, 0.289954, 0.016269, 0.332216, 0.037943, 0.772544, 0.946291, 0.274453, 0.067053, 0.963282, 0.322698, 0.981057, 0.739165, 0.505457, 0.150069, 0.848934, 0.711783, 0.74395, 0.909959, 0.089727, 0.715295, 0.287328, 0.253137, 0.010414, 0.166647, 0.421528, 0.629202, 0.226673, 0.107002, 0.497744, 0.392209, 0.55261, 0.604995, 0.557358, 0.026239, 0.419813, 0.748029, 0.104009, 0.903393, 0.530426, 0.73323, 0.990055, 0.420004, 0.919945, 0.503402, 0.008354, 0.386672, 0.79611, 0.05422, 0.916352, 0.678077, 0.800828, 0.588356, 0.423956, 0.353697, 0.560737, 0.773264, 0.382316, 0.14071, 0.47107, 0.048386, 0.545217, 0.962577, 0.19729, 0.376766, 0.286585, 0.686313, 0.290429, 0.434772, 0.187261, 0.262897, 0.231888, 0.514824, 0.06691, 0.836331, 0.79774, 0.341897, 0.762611, 0.037543, 0.75751, 0.635456, 0.817553, 0.790142, 0.958005, 0.260859, 0.604914, 0.364728, 0.337619, 0.468533, 0.846622, 0.340737, 0.780197, 0.686982, 0.28016, 0.485659, 0.284184, 0.789022, 0.80709, 0.806567, 0.35139, 0.986496, 0.485606, 0.859563, 0.773281, 0.897258, 0.126407, 0.737501, 0.059469, 0.783963, 0.164879, 0.772962, 0.21462, 0.338229, 0.033909, 0.072186]"
6,"[0.921563, 0.548114, 0.37891, 0.747996, 0.555163, 0.772053, 0.458863, 0.698505, 0.603538, 0.392951, 0.322315, 0.561873, 0.004374, 0.328294, 0.971687, 0.826287, 0.440102, 0.633806, 0.351918, 0.064961, 0.327522, 0.373303, 0.021255, 0.3012, 0.025354, 0.320035, 0.36488, 0.650367, 0.482925, 0.348994, 0.609666, 0.170103, 0.414446, 0.175596, 0.368249, 0.232085, 0.627411, 0.860736, 0.027243, 0.40295, 0.117156, 0.151038, 0.042865, 0.241558, 0.784164, 0.898955, 0.697216, 0.555982, 0.230169, 0.300497, 0.225888, 0.923834, 0.574105, 0.968402, 0.206745, 0.495092, 0.790751, 0.224445, 0.428923, 0.601154, 0.743699, 0.348351, 0.570446, 0.492796, 0.596422, 0.987393, 0.252282, 0.577412, 0.402155, 0.901879, 0.139486, 0.813836, 0.030929, 0.051183, 0.975592, 0.95611, 0.657318, 0.161687, 0.306429, 0.775497, 0.758025, 0.986664, 0.957138, 0.189, 0.544598, 0.969959, 0.395965, 0.192815, 0.340557, 0.67993, 0.82534, 0.64661, 0.000347, 0.857249, 0.35881, 0.531147, 0.228651, 0.148641, 0.228402, 0.986607, 0.433927, 0.771457, 0.790609, 0.180835, 0.540451, 0.561142, 0.09656, 0.37845, 0.270528, 0.374806, 0.613475, 0.26757, 0.796351, 0.628825, 0.490638, 0.633999, 0.741047, 0.36826, 0.62069, 0.107056, 0.338247, 0.711596, 0.840827, 0.231402, 0.40794, 0.024798, 0.110734, 0.733476]"
7,"[0.683825, 0.84099, 0.382417, 0.027698, 0.143386, 0.080763, 0.386382, 0.463499, 0.507543, 0.087052, 0.183217, 0.495727, 0.321587, 0.903618, 0.357965, 0.732329, 0.613544, 0.946166, 0.82036, 0.711123, 0.204275, 0.446439, 0.236244, 0.164528, 0.502819, 0.726799, 0.850492, 0.153119, 0.723225, 0.18166, 0.05981, 0.326576, 0.911736, 0.147498, 0.217718, 0.119965, 0.312547, 0.534927, 0.160027, 0.409765, 0.23315, 0.111003, 0.359438, 0.090066, 0.8188, 0.519542, 0.52363, 0.230086, 0.480481, 0.346395, 0.81789, 0.218125, 0.11139, 0.311451, 0.548253, 0.368372, 0.160774, 0.958079, 0.373032, 0.563937, 0.514229, 0.692893, 0.287968, 0.173739, 0.084298, 0.132916, 0.84112, 0.345938, 0.948855, 0.460785, 0.880814, 0.527607, 0.281133, 0.618358, 0.052582, 0.903278, 0.29443, 0.515402, 0.091919, 0.240109, 0.537033, 0.627081, 0.274451, 0.916804, 0.577675, 0.906537, 0.693095, 0.834931, 0.129968, 0.043456, 0.041604, 0.567802, 0.516557, 0.680901, 0.297045, 0.887136, 0.668802, 0.39704, 0.854077, 0.990484, 0.633705, 0.789048, 0.699289, 0.300432, 0.379831, 0.961122, 0.604976, 0.445054, 0.53674, 0.980792, 0.950053, 0.735981, 0.741662, 0.981538, 0.137024, 0.706174, 0.560948, 0.82068, 0.923923, 0.808444, 0.715236, 0.411617, 0.565348, 0.731342, 0.841738, 0.604867, 0.760573, 0.614688]"
8,"[0.152804, 0.97988, 0.331037, 0.62206, 0.704572, 0.782507, 0.057212, 0.927614, 0.181713, 0.798256, 0.971616, 0.194384, 0.052653, 0.741321, 0.481299, 0.738738, 0.469495, 0.272736, 0.578296, 0.887834, 0.079775, 0.438412, 0.590477, 0.43149, 0.383744, 0.791986, 0.362018, 0.995689, 0.156661, 0.75552, 0.410056, 0.793374, 0.157699, 0.941866, 0.805965, 0.167664, 0.591103, 0.19576, 0.184052, 0.246819, 0.576689, 0.007283, 0.109047, 0.315029, 0.614231, 0.300538, 0.85326, 0.198118, 0.580959, 0.124091, 0.631062, 0.106233, 0.172412, 0.180991, 0.861675, 0.014103, 0.039711, 0.208757, 0.586293, 0.855214, 0.835398, 0.327214, 0.559226, 0.764027, 0.92679, 0.26263, 0.049872, 0.214166, 0.929208, 0.241113, 0.98482, 0.785036, 0.441054, 0.291844, 0.164714, 0.244095, 0.723514, 0.041784, 0.406644, 0.884885, 0.710585, 0.397239, 0.753922, 0.562276, 0.617524, 0.603587, 0.634972, 0.71444, 0.585217, 0.540131, 0.317938, 0.698967, 0.900732, 0.339369, 0.076429, 0.613969, 0.953992, 0.355532, 0.215307, 0.71749, 0.355441, 0.219347, 0.233681, 0.614274, 0.213139, 0.59673, 0.831949, 0.096548, 0.256956, 0.614716, 0.474305, 0.957031, 0.256235, 0.68181, 0.49235, 0.506206, 0.752362, 0.965954, 0.282596, 0.050157, 0.236178, 0.327194, 0.392758, 0.406973, 0.390755, 0.553563, 0.739091, 0.679914]"
9,"[0.707995, 0.491753, 0.359718, 0.903869, 0.316308, 0.513577, 0.417479, 0.489936, 0.840617, 0.71304, 0.963149, 0.295482, 0.782097, 0.414013, 0.927606, 0.393203, 0.391823, 0.153485, 0.12082, 0.691934, 0.965243, 0.778236, 0.870546, 0.862503, 0.842564, 0.404239, 0.510651, 0.107358, 0.625659, 0.158165, 0.173801, 0.068448, 0.021162, 0.374783, 0.57133, 0.972543, 0.586498, 0.31383, 0.229975, 0.134453, 0.613308, 0.706634, 0.857701, 0.269263, 0.06633, 0.427744, 0.482748, 0.209588, 0.893871, 0.557281, 0.438141, 0.118934, 0.420194, 0.396644, 0.63221, 0.140945, 0.073454, 0.840432, 0.113737, 0.546983, 0.142004, 0.542949, 0.038586, 0.394989, 0.889914, 0.948334, 0.201959, 0.813668, 0.195691, 0.831947, 0.983603, 0.259423, 0.329129, 0.798073, 0.122749, 0.912672, 0.888192, 0.896977, 0.522806, 0.458996, 0.654555, 0.380431, 0.882349, 0.785916, 0.076625, 0.794175, 0.143253, 0.403613, 0.399537, 0.35065, 0.466602, 0.170815, 0.520577, 0.089808, 0.626205, 0.765708, 0.563249, 0.392698, 0.603351, 0.917629, 0.022681, 0.912683, 0.14745, 0.327076, 0.796175, 0.391638, 0.267067, 0.806442, 0.28069, 0.541453, 0.819958, 0.716731, 0.009962, 0.913244, 0.723923, 0.642365, 0.565311, 0.049296, 0.150581, 0.744248, 0.204153, 0.477784, 0.357431, 0.093509, 0.049305, 0.611466, 0.998107, 0.834687]"
10,"[0.621001, 0.346122, 0.767541, 0.628551, 0.325061, 0.426399, 0.686645, 0.425661, 0.54194, 0.016798, 0.393099, 0.215034, 0.946459, 0.275925, 0.745142, 0.631493, 0.869234, 0.870792, 0.761083, 0.906945, 0.297835, 0.172458, 0.45897, 0.659974, 0.429653, 0.901855, 0.426125, 0.102198, 0.699163, 0.450442, 0.45791, 0.545731, 0.611977, 0.972208, 0.071428, 0.143858, 0.674803, 0.258544, 0.338379, 0.240187, 0.676519, 0.570809, 0.946221, 0.279534, 0.557467, 0.546159, 0.246729, 0.004095, 0.097594, 0.402753, 0.649009, 0.023618, 0.129244, 0.567655, 0.998642, 0.550327, 0.883244, 0.98658, 0.824617, 0.844592, 0.832671, 0.821793, 0.04307, 0.543168, 0.649262, 0.525916, 0.256728, 0.105398, 0.454524, 0.191369, 0.958707, 0.646055, 0.913211, 0.083532, 0.743699, 0.644348, 0.240584, 0.171474, 0.443415, 0.177905, 0.789832, 0.25474, 0.843916, 0.403577, 0.956747, 0.760587, 0.199541, 0.649262, 0.007625, 0.405937, 0.835884, 0.668454, 0.635267, 0.629485, 0.211227, 0.198294, 0.384057, 0.45147, 0.824587, 0.670636, 0.444549, 0.530258, 0.590803, 0.410199, 0.014101, 0.425851, 0.717631, 0.399578, 0.84327, 0.704474, 0.181225, 0.949557, 0.415868, 0.883759, 0.116864, 0.073409, 0.285078, 0.490678, 0.521867, 0.236867, 0.165354, 0.454676, 0.842541, 0.413137, 0.122149, 0.781988, 0.336501, 0.713312]"
